vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Gaming_2160P-3002_downsample_1080p,"[[Timestamp('2023-11-22 02:05:15.624000'), Timestamp('2023-11-22 02:05:16.439000'), Timestamp('2023-11-22 02:05:17.295000'), Timestamp('2023-11-22 02:05:17.761000'), Timestamp('2023-11-22 02:05:18.245000'), Timestamp('2023-11-22 02:05:18.760000'), Timestamp('2023-11-22 02:05:19.244000'), Timestamp('2023-11-22 02:05:19.759000'), Timestamp('2023-11-22 02:05:20.243000'), Timestamp('2023-11-22 02:05:20.758000'), Timestamp('2023-11-22 02:05:21.242000'), Timestamp('2023-11-22 02:05:21.757000'), Timestamp('2023-11-22 02:05:22.241000'), Timestamp('2023-11-22 02:05:22.756000'), Timestamp('2023-11-22 02:05:23.230000'), Timestamp('2023-11-22 02:05:24.434000'), Timestamp('2023-11-22 02:05:25.269000'), Timestamp('2023-11-22 02:05:25.757000'), Timestamp('2023-11-22 02:05:26.240000'), Timestamp('2023-11-22 02:05:26.727000'), Timestamp('2023-11-22 02:05:27.211000'), Timestamp('2023-11-22 02:05:28.051000'), Timestamp('2023-11-22 02:05:28.919000'), Timestamp('2023-11-22 02:05:29.764000'), Timestamp('2023-11-22 02:05:30.281000'), Timestamp('2023-11-22 02:05:30.763000'), Timestamp('2023-11-22 02:05:31.252000'), Timestamp('2023-11-22 02:05:31.733000'), Timestamp('2023-11-22 02:05:32.223000'), Timestamp('2023-11-22 02:05:32.705000'), Timestamp('2023-11-22 02:05:33.555000'), Timestamp('2023-11-22 02:05:34.425000'), Timestamp('2023-11-22 02:05:35.261000'), Timestamp('2023-11-22 02:05:35.776000'), Timestamp('2023-11-22 02:05:36.260000'), Timestamp('2023-11-22 02:05:36.775000'), Timestamp('2023-11-22 02:05:37.259000'), Timestamp('2023-11-22 02:05:37.774000'), Timestamp('2023-11-22 02:05:38.258000'), Timestamp('2023-11-22 02:05:38.746000'), Timestamp('2023-11-22 02:05:39.229000'), Timestamp('2023-11-22 02:05:39.717000'), Timestamp('2023-11-22 02:05:40.200000'), Timestamp('2023-11-22 02:05:41.041000'), Timestamp('2023-11-22 02:05:41.910000'), Timestamp('2023-11-22 02:05:42.754000'), Timestamp('2023-11-22 02:05:43.243000'), Timestamp('2023-11-22 02:05:43.725000'), Timestamp('2023-11-22 02:05:44.214000'), Timestamp('2023-11-22 02:05:44.696000'), Timestamp('2023-11-22 02:05:45.546000'), Timestamp('2023-11-22 02:05:46.416000'), Timestamp('2023-11-22 02:05:47.252000'), Timestamp('2023-11-22 02:05:47.767000'), Timestamp('2023-11-22 02:05:48.251000'), Timestamp('2023-11-22 02:05:48.766000'), Timestamp('2023-11-22 02:05:49.250000'), Timestamp('2023-11-22 02:05:49.765000'), Timestamp('2023-11-22 02:05:50.249000'), Timestamp('2023-11-22 02:05:50.737000'), Timestamp('2023-11-22 02:05:51.220000'), Timestamp('2023-11-22 02:05:51.708000'), Timestamp('2023-11-22 02:05:52.191000'), Timestamp('2023-11-22 02:05:53.032000'), Timestamp('2023-11-22 02:05:53.901000'), Timestamp('2023-11-22 02:05:54.745000'), Timestamp('2023-11-22 02:05:55.234000'), Timestamp('2023-11-22 02:05:55.716000'), Timestamp('2023-11-22 02:05:56.205000'), Timestamp('2023-11-22 02:05:56.687000'), Timestamp('2023-11-22 02:05:57.527000'), Timestamp('2023-11-22 02:05:58.406000'), Timestamp('2023-11-22 02:05:59.241000'), Timestamp('2023-11-22 02:05:59.756000'), Timestamp('2023-11-22 02:06:00.240000'), Timestamp('2023-11-22 02:06:00.755000'), Timestamp('2023-11-22 02:06:01.239000'), Timestamp('2023-11-22 02:06:01.754000'), Timestamp('2023-11-22 02:06:02.238000'), Timestamp('2023-11-22 02:06:02.753000'), Timestamp('2023-11-22 02:06:03.237000'), Timestamp('2023-11-22 02:06:03.752000'), Timestamp('2023-11-22 02:06:04.236000'), Timestamp('2023-11-22 02:06:04.751000'), Timestamp('2023-11-22 02:06:05.235000'), Timestamp('2023-11-22 02:06:05.750000'), Timestamp('2023-11-22 02:06:06.234000'), Timestamp('2023-11-22 02:06:06.749000'), Timestamp('2023-11-22 02:06:07.233000'), Timestamp('2023-11-22 02:06:07.748000'), Timestamp('2023-11-22 02:06:08.232000'), Timestamp('2023-11-22 02:06:08.747000'), Timestamp('2023-11-22 02:06:09.231000'), Timestamp('2023-11-22 02:06:09.746000')]]","[[120.74, 115.85, 120.38, 112.35, 111.65, 121.9, 120.25, 109.46, 110.89, 124.11, 114.97, 119.16, 113.59, 110.68, 119.78, 105.7, 122.06, 112.15, 114.14, 118.96, 115.24, 128.65, 105.51, 110.63, 122.17, 115.26, 119.88, 114.92, 113.51, 125.34, 105.57, 128.22, 112.1, 117.07, 113.47, 112.65, 115.4, 125.88, 110.77, 106.7, 122.6, 120.01, 120.81, 114.16, 127.69, 113.65, 106.14, 122.21, 116.14, 118.84, 112.47, 128.72, 113.4, 107.32, 118.21, 120.39, 112.63, 121.94, 113.74, 111.09, 129.75, 112.78, 107.01, 125.26, 118.19, 115.42, 111.56, 127.47, 120.2, 105.44, 125.24, 116.13, 116.17, 111.47, 118.36, 124.47, 112.23, 101.37, 117.25, 120.46, 115.66, 116.46, 111.65, 114.57, 121.77, 116.8, 104.85, 107.29, 127.24, 115.42, 117.99, 120.56, 117.75, 126.92]]",[],[]
Gaming_2160P-3002_downsample_1080p,"[[Timestamp('2023-11-22 02:14:59.734000'), Timestamp('2023-11-22 02:15:00.588000'), Timestamp('2023-11-22 02:15:01.055000'), Timestamp('2023-11-22 02:15:01.537000'), Timestamp('2023-11-22 02:15:02.026000'), Timestamp('2023-11-22 02:15:02.508000'), Timestamp('2023-11-22 02:15:02.997000'), Timestamp('2023-11-22 02:15:03.480000'), Timestamp('2023-11-22 02:15:04.321000'), Timestamp('2023-11-22 02:15:05.200000'), Timestamp('2023-11-22 02:15:06.034000'), Timestamp('2023-11-22 02:15:06.523000'), Timestamp('2023-11-22 02:15:07.005000'), Timestamp('2023-11-22 02:15:07.494000'), Timestamp('2023-11-22 02:15:07.976000'), Timestamp('2023-11-22 02:15:08.818000'), Timestamp('2023-11-22 02:15:09.687000'), Timestamp('2023-11-22 02:15:10.531000'), Timestamp('2023-11-22 02:15:11.020000'), Timestamp('2023-11-22 02:15:11.502000'), Timestamp('2023-11-22 02:15:11.991000'), Timestamp('2023-11-22 02:15:12.472000'), Timestamp('2023-11-22 02:15:13.314000'), Timestamp('2023-11-22 02:15:14.193000'), Timestamp('2023-11-22 02:15:15.029000'), Timestamp('2023-11-22 02:15:15.544000'), Timestamp('2023-11-22 02:15:16.028000'), Timestamp('2023-11-22 02:15:16.543000'), Timestamp('2023-11-22 02:15:17.027000'), Timestamp('2023-11-22 02:15:17.515000'), Timestamp('2023-11-22 02:15:17.998000'), Timestamp('2023-11-22 02:15:18.486000'), Timestamp('2023-11-22 02:15:18.968000'), Timestamp('2023-11-22 02:15:19.810000'), Timestamp('2023-11-22 02:15:20.679000'), Timestamp('2023-11-22 02:15:21.523000'), Timestamp('2023-11-22 02:15:22.012000'), Timestamp('2023-11-22 02:15:22.494000'), Timestamp('2023-11-22 02:15:22.975000'), Timestamp('2023-11-22 02:15:24.197000'), Timestamp('2023-11-22 02:15:25.041000'), Timestamp('2023-11-22 02:15:25.523000'), Timestamp('2023-11-22 02:15:26.013000'), Timestamp('2023-11-22 02:15:26.501000'), Timestamp('2023-11-22 02:15:27.334000'), Timestamp('2023-11-22 02:15:28.213000'), Timestamp('2023-11-22 02:15:29.048000'), Timestamp('2023-11-22 02:15:29.564000'), Timestamp('2023-11-22 02:15:30.047000'), Timestamp('2023-11-22 02:15:30.562000'), Timestamp('2023-11-22 02:15:31.046000'), Timestamp('2023-11-22 02:15:31.561000'), Timestamp('2023-11-22 02:15:32.045000'), Timestamp('2023-11-22 02:15:32.560000'), Timestamp('2023-11-22 02:15:33.044000')]]","[[108.54, 107.86, 109.3, 108.49, 91.758, 109.81, 108.4, 112.07, 100.31, 109.69, 104.39, 102.79, 112.17, 94.195, 104.34, 109.69, 112.7, 94.829, 102.55, 106.84, 107.43, 102.19, 92.36, 108.36, 109.55, 109.95, 103.74, 92.834, 108.74, 101.69, 103.59, 106.54, 108.96, 108.86, 110.68, 112.12, 101.9, 93.024, 112.18, 114.49, 91.969, 105.95, 106.12, 103.74, 112.05, 107.43, 108.59, 107.5, 105.38, 112.66, 93.189, 101.6, 109.26, 110.33, 112.71]]",[],[]
Gaming_2160P-3002_downsample_1080p,"[[Timestamp('2023-11-22 02:23:14.293000'), Timestamp('2023-11-22 02:23:15.171000'), Timestamp('2023-11-22 02:23:16.004000'), Timestamp('2023-11-22 02:23:16.519000'), Timestamp('2023-11-22 02:23:17.002000'), Timestamp('2023-11-22 02:23:17.516000'), Timestamp('2023-11-22 02:23:17.999000'), Timestamp('2023-11-22 02:23:18.515000'), Timestamp('2023-11-22 02:23:18.997000'), Timestamp('2023-11-22 02:23:19.512000'), Timestamp('2023-11-22 02:23:19.996000'), Timestamp('2023-11-22 02:23:20.510000'), Timestamp('2023-11-22 02:23:20.992000'), Timestamp('2023-11-22 02:23:21.507000'), Timestamp('2023-11-22 02:23:21.991000'), Timestamp('2023-11-22 02:23:22.505000'), Timestamp('2023-11-22 02:23:22.989000'), Timestamp('2023-11-22 02:23:23.502000'), Timestamp('2023-11-22 02:23:23.987000'), Timestamp('2023-11-22 02:23:24.501000'), Timestamp('2023-11-22 02:23:24.985000'), Timestamp('2023-11-22 02:23:25.499000'), Timestamp('2023-11-22 02:23:25.983000'), Timestamp('2023-11-22 02:23:26.496000'), Timestamp('2023-11-22 02:23:26.981000'), Timestamp('2023-11-22 02:23:27.495000'), Timestamp('2023-11-22 02:23:27.978000'), Timestamp('2023-11-22 02:23:28.493000'), Timestamp('2023-11-22 02:23:28.976000'), Timestamp('2023-11-22 02:23:29.491000'), Timestamp('2023-11-22 02:23:29.974000'), Timestamp('2023-11-22 02:23:30.489000'), Timestamp('2023-11-22 02:23:30.972000'), Timestamp('2023-11-22 02:23:31.487000'), Timestamp('2023-11-22 02:23:31.970000'), Timestamp('2023-11-22 02:23:32.485000'), Timestamp('2023-11-22 02:23:32.959000'), Timestamp('2023-11-22 02:23:34.161000'), Timestamp('2023-11-22 02:23:34.995000'), Timestamp('2023-11-22 02:23:35.510000'), Timestamp('2023-11-22 02:23:35.993000'), Timestamp('2023-11-22 02:23:36.508000'), Timestamp('2023-11-22 02:23:36.991000'), Timestamp('2023-11-22 02:23:37.506000')]]","[[94.275, 92.71600000000001, 99.713, 94.53399999999999, 95.552, 93.959, 95.053, 96.251, 94.876, 94.354, 97.49, 97.419, 96.425, 96.47399999999999, 96.294, 94.53299999999999, 94.90100000000001, 98.21, 94.96799999999999, 95.87, 96.564, 95.25399999999999, 93.443, 96.03, 94.559, 98.431, 94.325, 97.406, 93.635, 99.90299999999999, 94.773, 96.79899999999999, 94.854, 101.44, 91.196, 98.07600000000001, 92.98100000000001, 95.469, 93.884, 97.022, 91.961, 96.75, 93.65100000000001, 95.785]]",[],[]
Gaming_2160P-3002_downsample_1080p,"[[Timestamp('2023-11-22 02:29:46.478000'), Timestamp('2023-11-22 02:29:47.676000'), Timestamp('2023-11-22 02:29:48.542000'), Timestamp('2023-11-22 02:29:49.384000'), Timestamp('2023-11-22 02:29:49.872000'), Timestamp('2023-11-22 02:29:50.354000'), Timestamp('2023-11-22 02:29:50.842000'), Timestamp('2023-11-22 02:29:51.685000'), Timestamp('2023-11-22 02:29:52.553000'), Timestamp('2023-11-22 02:29:53.387000'), Timestamp('2023-11-22 02:29:53.901000'), Timestamp('2023-11-22 02:29:54.384000'), Timestamp('2023-11-22 02:29:54.899000'), Timestamp('2023-11-22 02:29:55.382000'), Timestamp('2023-11-22 02:29:55.898000'), Timestamp('2023-11-22 02:29:56.380000'), Timestamp('2023-11-22 02:29:56.895000'), Timestamp('2023-11-22 02:29:57.379000'), Timestamp('2023-11-22 02:29:57.894000'), Timestamp('2023-11-22 02:29:58.376000'), Timestamp('2023-11-22 02:29:58.891000'), Timestamp('2023-11-22 02:29:59.374000'), Timestamp('2023-11-22 02:29:59.889000'), Timestamp('2023-11-22 02:30:00.372000'), Timestamp('2023-11-22 02:30:00.887000'), Timestamp('2023-11-22 02:30:01.370000'), Timestamp('2023-11-22 02:30:01.885000'), Timestamp('2023-11-22 02:30:02.368000')]]","[[93.01299999999999, 93.681, 94.59, 92.891, 93.74700000000001, 91.79799999999999, 93.40700000000001, 92.96700000000001, 94.35, 93.39399999999999, 96.804, 92.78399999999999, 91.93799999999999, 93.59899999999999, 92.581, 91.164, 95.124, 92.955, 92.09299999999999, 94.052, 94.868, 91.781, 95.734, 93.52600000000001, 91.46, 94.06200000000001, 92.634, 91.182]]",[],[]
Gaming_2160P-3002_downsample_1080p,"[[Timestamp('2023-11-22 02:37:21.689000'), Timestamp('2023-11-22 02:37:22.171000'), Timestamp('2023-11-22 02:37:22.660000'), Timestamp('2023-11-22 02:37:23.503000'), Timestamp('2023-11-22 02:37:24.372000'), Timestamp('2023-11-22 02:37:25.208000'), Timestamp('2023-11-22 02:37:25.723000'), Timestamp('2023-11-22 02:37:26.207000'), Timestamp('2023-11-22 02:37:26.722000'), Timestamp('2023-11-22 02:37:27.205000'), Timestamp('2023-11-22 02:37:27.720000'), Timestamp('2023-11-22 02:37:28.204000'), Timestamp('2023-11-22 02:37:28.719000'), Timestamp('2023-11-22 02:37:29.203000'), Timestamp('2023-11-22 02:37:29.718000'), Timestamp('2023-11-22 02:37:30.202000'), Timestamp('2023-11-22 02:37:30.717000'), Timestamp('2023-11-22 02:37:31.201000'), Timestamp('2023-11-22 02:37:31.716000'), Timestamp('2023-11-22 02:37:32.190000')]]","[[96.93700000000001, 93.68700000000001, 96.831, 95.821, 94.45100000000001, 92.45, 93.431, 92.79700000000001, 93.191, 92.63600000000001, 93.516, 95.874, 94.647, 96.007, 91.882, 96.874, 90.645, 95.494, 90.885, 94.71700000000001]]",[],[]
Gaming_2160P-3002_downsample_720p,"[[Timestamp('2023-11-22 02:47:52.749000'), Timestamp('2023-11-22 02:47:53.241000'), Timestamp('2023-11-22 02:47:53.727000'), Timestamp('2023-11-22 02:47:54.216000'), Timestamp('2023-11-22 02:47:54.706000'), Timestamp('2023-11-22 02:47:55.553000'), Timestamp('2023-11-22 02:47:56.400000'), Timestamp('2023-11-22 02:47:57.243000'), Timestamp('2023-11-22 02:47:57.730000'), Timestamp('2023-11-22 02:47:58.211000'), Timestamp('2023-11-22 02:47:58.699000'), Timestamp('2023-11-22 02:47:59.190000'), Timestamp('2023-11-22 02:48:00.028000'), Timestamp('2023-11-22 02:48:00.905000'), Timestamp('2023-11-22 02:48:01.737000'), Timestamp('2023-11-22 02:48:02.252000'), Timestamp('2023-11-22 02:48:02.740000'), Timestamp('2023-11-22 02:48:03.232000'), Timestamp('2023-11-22 02:48:03.746000'), Timestamp('2023-11-22 02:48:04.235000'), Timestamp('2023-11-22 02:48:04.725000'), Timestamp('2023-11-22 02:48:05.241000'), Timestamp('2023-11-22 02:48:05.728000'), Timestamp('2023-11-22 02:48:06.221000'), Timestamp('2023-11-22 02:48:06.734000'), Timestamp('2023-11-22 02:48:07.217000'), Timestamp('2023-11-22 02:48:07.731000'), Timestamp('2023-11-22 02:48:08.220000'), Timestamp('2023-11-22 02:48:08.710000'), Timestamp('2023-11-22 02:48:09.226000'), Timestamp('2023-11-22 02:48:09.714000'), Timestamp('2023-11-22 02:48:10.206000'), Timestamp('2023-11-22 02:48:10.719000'), Timestamp('2023-11-22 02:48:11.202000'), Timestamp('2023-11-22 02:48:11.716000'), Timestamp('2023-11-22 02:48:12.205000'), Timestamp('2023-11-22 02:48:12.695000'), Timestamp('2023-11-22 02:48:13.211000'), Timestamp('2023-11-22 02:48:13.699000'), Timestamp('2023-11-22 02:48:14.191000'), Timestamp('2023-11-22 02:48:14.704000'), Timestamp('2023-11-22 02:48:15.187000'), Timestamp('2023-11-22 02:48:15.701000'), Timestamp('2023-11-22 02:48:16.190000'), Timestamp('2023-11-22 02:48:16.681000'), Timestamp('2023-11-22 02:48:17.196000'), Timestamp('2023-11-22 02:48:17.684000'), Timestamp('2023-11-22 02:48:18.176000'), Timestamp('2023-11-22 02:48:18.690000'), Timestamp('2023-11-22 02:48:19.179000'), Timestamp('2023-11-22 02:48:19.669000'), Timestamp('2023-11-22 02:48:20.185000'), Timestamp('2023-11-22 02:48:20.672000'), Timestamp('2023-11-22 02:48:21.165000'), Timestamp('2023-11-22 02:48:21.678000'), Timestamp('2023-11-22 02:48:22.161000'), Timestamp('2023-11-22 02:48:22.674000'), Timestamp('2023-11-22 02:48:23.157000'), Timestamp('2023-11-22 02:48:23.671000'), Timestamp('2023-11-22 02:48:24.160000'), Timestamp('2023-11-22 02:48:24.650000'), Timestamp('2023-11-22 02:48:25.166000'), Timestamp('2023-11-22 02:48:25.654000'), Timestamp('2023-11-22 02:48:26.146000'), Timestamp('2023-11-22 02:48:26.660000'), Timestamp('2023-11-22 02:48:27.149000'), Timestamp('2023-11-22 02:48:27.639000'), Timestamp('2023-11-22 02:48:28.155000'), Timestamp('2023-11-22 02:48:28.643000'), Timestamp('2023-11-22 02:48:29.135000'), Timestamp('2023-11-22 02:48:29.648000'), Timestamp('2023-11-22 02:48:30.131000'), Timestamp('2023-11-22 02:48:30.645000'), Timestamp('2023-11-22 02:48:31.126000'), Timestamp('2023-11-22 02:48:32.335000'), Timestamp('2023-11-22 02:48:33.151000'), Timestamp('2023-11-22 02:48:33.665000'), Timestamp('2023-11-22 02:48:34.148000'), Timestamp('2023-11-22 02:48:34.662000'), Timestamp('2023-11-22 02:48:35.145000')]]","[[93.15899999999999, 102.76, 100.39, 99.84299999999999, 108.59, 88.098, 104.52, 98.369, 96.565, 97.566, 103.16, 87.652, 108.03, 94.708, 94.962, 107.48, 88.33200000000001, 87.681, 94.90700000000001, 94.618, 95.81700000000001, 104.85, 103.0, 99.915, 88.74600000000001, 97.553, 99.25200000000001, 97.96700000000001, 95.28399999999999, 96.833, 102.84, 87.758, 90.15100000000001, 101.15, 98.228, 99.059, 102.72, 110.33, 88.91799999999999, 87.529, 97.219, 98.68799999999999, 94.197, 100.74, 102.79, 98.571, 87.76100000000001, 94.42200000000001, 106.87, 98.81, 95.616, 100.81, 102.83, 85.963, 88.613, 103.53, 98.214, 99.81700000000001, 102.58, 110.3, 88.115, 86.848, 97.301, 95.488, 92.97399999999999, 93.631, 104.89, 105.49, 87.867, 92.391, 105.58, 104.0, 94.82600000000001, 95.882, 87.714, 103.01, 101.07, 98.215, 93.43700000000001, 104.45]]",[],[]
Gaming_2160P-3002_downsample_720p,"[[Timestamp('2023-11-22 02:52:40.383000'), Timestamp('2023-11-22 02:52:41.225000'), Timestamp('2023-11-22 02:52:41.706000'), Timestamp('2023-11-22 02:52:42.195000'), Timestamp('2023-11-22 02:52:42.684000'), Timestamp('2023-11-22 02:52:43.176000'), Timestamp('2023-11-22 02:52:44.016000'), Timestamp('2023-11-22 02:52:44.893000'), Timestamp('2023-11-22 02:52:45.726000'), Timestamp('2023-11-22 02:52:46.242000'), Timestamp('2023-11-22 02:52:46.724000'), Timestamp('2023-11-22 02:52:47.206000'), Timestamp('2023-11-22 02:52:48.417000'), Timestamp('2023-11-22 02:52:49.251000'), Timestamp('2023-11-22 02:52:49.767000'), Timestamp('2023-11-22 02:52:50.249000'), Timestamp('2023-11-22 02:52:50.764000'), Timestamp('2023-11-22 02:52:51.247000'), Timestamp('2023-11-22 02:52:51.762000'), Timestamp('2023-11-22 02:52:52.246000'), Timestamp('2023-11-22 02:52:52.760000'), Timestamp('2023-11-22 02:52:53.243000'), Timestamp('2023-11-22 02:52:53.758000'), Timestamp('2023-11-22 02:52:54.241000'), Timestamp('2023-11-22 02:52:54.755000'), Timestamp('2023-11-22 02:52:55.239000'), Timestamp('2023-11-22 02:52:55.753000'), Timestamp('2023-11-22 02:52:56.237000'), Timestamp('2023-11-22 02:52:56.752000'), Timestamp('2023-11-22 02:52:57.235000'), Timestamp('2023-11-22 02:52:57.750000'), Timestamp('2023-11-22 02:52:58.234000'), Timestamp('2023-11-22 02:52:58.747000'), Timestamp('2023-11-22 02:52:59.232000'), Timestamp('2023-11-22 02:52:59.745000'), Timestamp('2023-11-22 02:53:00.230000'), Timestamp('2023-11-22 02:53:00.743000'), Timestamp('2023-11-22 02:53:01.228000'), Timestamp('2023-11-22 02:53:01.741000'), Timestamp('2023-11-22 02:53:02.225000'), Timestamp('2023-11-22 02:53:02.740000'), Timestamp('2023-11-22 02:53:03.223000'), Timestamp('2023-11-22 02:53:03.738000'), Timestamp('2023-11-22 02:53:04.221000'), Timestamp('2023-11-22 02:53:04.735000'), Timestamp('2023-11-22 02:53:05.219000'), Timestamp('2023-11-22 02:53:05.734000'), Timestamp('2023-11-22 02:53:06.217000'), Timestamp('2023-11-22 02:53:06.731000'), Timestamp('2023-11-22 02:53:07.216000'), Timestamp('2023-11-22 02:53:07.730000')]]","[[88.757, 89.178, 86.613, 85.766, 88.13600000000001, 88.565, 85.412, 90.47, 89.545, 92.176, 84.406, 87.90700000000001, 90.581, 84.344, 91.616, 89.289, 90.095, 92.52, 85.288, 88.05, 86.82600000000001, 87.29700000000001, 92.36399999999999, 83.55799999999999, 88.061, 88.824, 90.17, 91.709, 86.07700000000001, 91.4, 89.505, 90.53200000000001, 87.704, 85.691, 86.398, 87.205, 91.947, 86.78299999999999, 89.287, 89.39, 89.27600000000001, 91.488, 85.492, 86.154, 87.324, 88.15899999999999, 91.73200000000001, 85.105, 88.77, 90.00299999999999, 89.64200000000001]]",[],[]
Gaming_2160P-3002_downsample_720p,"[[Timestamp('2023-11-22 02:56:10.332000'), Timestamp('2023-11-22 02:56:11.174000'), Timestamp('2023-11-22 02:56:11.657000'), Timestamp('2023-11-22 02:56:12.496000'), Timestamp('2023-11-22 02:56:13.374000'), Timestamp('2023-11-22 02:56:14.208000'), Timestamp('2023-11-22 02:56:14.724000'), Timestamp('2023-11-22 02:56:15.212000'), Timestamp('2023-11-22 02:56:15.705000'), Timestamp('2023-11-22 02:56:16.220000'), Timestamp('2023-11-22 02:56:16.703000'), Timestamp('2023-11-22 02:56:17.218000'), Timestamp('2023-11-22 02:56:17.701000'), Timestamp('2023-11-22 02:56:18.216000'), Timestamp('2023-11-22 02:56:18.699000'), Timestamp('2023-11-22 02:56:19.214000'), Timestamp('2023-11-22 02:56:19.697000'), Timestamp('2023-11-22 02:56:20.212000'), Timestamp('2023-11-22 02:56:20.695000'), Timestamp('2023-11-22 02:56:21.210000'), Timestamp('2023-11-22 02:56:21.693000'), Timestamp('2023-11-22 02:56:22.208000'), Timestamp('2023-11-22 02:56:22.691000'), Timestamp('2023-11-22 02:56:23.206000'), Timestamp('2023-11-22 02:56:23.689000'), Timestamp('2023-11-22 02:56:24.204000'), Timestamp('2023-11-22 02:56:24.687000'), Timestamp('2023-11-22 02:56:25.202000'), Timestamp('2023-11-22 02:56:25.685000'), Timestamp('2023-11-22 02:56:26.200000'), Timestamp('2023-11-22 02:56:26.683000'), Timestamp('2023-11-22 02:56:27.197000')]]","[[89.383, 86.10600000000001, 86.1, 84.729, 86.884, 85.23100000000001, 87.79, 88.97, 87.90299999999999, 86.368, 89.259, 84.81700000000001, 85.756, 85.999, 85.042, 85.5, 85.545, 87.251, 88.095, 87.601, 89.162, 87.22200000000001, 86.715, 87.852, 84.839, 85.292, 86.584, 84.964, 85.66799999999999, 89.086, 86.58200000000001, 88.46700000000001]]",[],[]
Gaming_2160P-3002_downsample_720p,"[[Timestamp('2023-11-22 02:58:44.407000'), Timestamp('2023-11-22 02:58:45.242000'), Timestamp('2023-11-22 02:58:45.723000'), Timestamp('2023-11-22 02:58:46.206000'), Timestamp('2023-11-22 02:58:47.048000'), Timestamp('2023-11-22 02:58:47.917000'), Timestamp('2023-11-22 02:58:48.762000'), Timestamp('2023-11-22 02:58:49.251000'), Timestamp('2023-11-22 02:58:49.733000'), Timestamp('2023-11-22 02:58:50.223000'), Timestamp('2023-11-22 02:58:50.705000'), Timestamp('2023-11-22 02:58:51.546000'), Timestamp('2023-11-22 02:58:52.425000'), Timestamp('2023-11-22 02:58:53.261000'), Timestamp('2023-11-22 02:58:53.749000'), Timestamp('2023-11-22 02:58:54.222000'), Timestamp('2023-11-22 02:58:55.456000'), Timestamp('2023-11-22 02:58:56.292000'), Timestamp('2023-11-22 02:58:56.807000'), Timestamp('2023-11-22 02:58:57.292000')]]","[[78.65, 78.118, 87.126, 87.594, 87.93299999999999, 89.182, 89.75, 80.125, 80.616, 79.222, 81.137, 86.62200000000001, 87.098, 87.912, 88.515, 89.01700000000001, 89.27799999999999, 87.385, 87.60600000000001, 86.12899999999999]]",[],[]
Gaming_2160P-3002_downsample_720p,"[[Timestamp('2023-11-22 03:00:54.284000'), Timestamp('2023-11-22 03:00:55.149000'), Timestamp('2023-11-22 03:00:55.992000'), Timestamp('2023-11-22 03:00:56.480000'), Timestamp('2023-11-22 03:00:57.322000'), Timestamp('2023-11-22 03:00:58.191000'), Timestamp('2023-11-22 03:00:59.024000'), Timestamp('2023-11-22 03:00:59.539000'), Timestamp('2023-11-22 03:01:00.022000'), Timestamp('2023-11-22 03:01:00.537000'), Timestamp('2023-11-22 03:01:01.020000'), Timestamp('2023-11-22 03:01:01.536000'), Timestamp('2023-11-22 03:01:02.018000'), Timestamp('2023-11-22 03:01:02.533000')]]","[[90.744, 90.77600000000001, 90.06299999999999, 84.368, 89.39, 89.78299999999999, 90.539, 91.02600000000001, 92.272, 92.146, 86.23200000000001, 79.12899999999999, 77.891, 77.57]]",[],[]
