vid,time,power
,"[datetime.datetime(2023, 12, 8, 21, 28, 25, 521517), datetime.datetime(2023, 12, 8, 21, 28, 25, 621672), datetime.datetime(2023, 12, 8, 21, 28, 25, 721863), datetime.datetime(2023, 12, 8, 21, 28, 25, 822057), datetime.datetime(2023, 12, 8, 21, 28, 25, 922231), datetime.datetime(2023, 12, 8, 21, 28, 26, 22438), datetime.datetime(2023, 12, 8, 21, 28, 26, 122723), datetime.datetime(2023, 12, 8, 21, 28, 26, 223002), datetime.datetime(2023, 12, 8, 21, 28, 26, 323203), datetime.datetime(2023, 12, 8, 21, 28, 26, 423453), datetime.datetime(2023, 12, 8, 21, 28, 26, 523593), datetime.datetime(2023, 12, 8, 21, 28, 26, 623823), datetime.datetime(2023, 12, 8, 21, 28, 26, 724033), datetime.datetime(2023, 12, 8, 21, 28, 26, 824273), datetime.datetime(2023, 12, 8, 21, 28, 26, 924483), datetime.datetime(2023, 12, 8, 21, 28, 27, 24643), datetime.datetime(2023, 12, 8, 21, 28, 27, 124813), datetime.datetime(2023, 12, 8, 21, 28, 27, 225043), datetime.datetime(2023, 12, 8, 21, 28, 27, 325303), datetime.datetime(2023, 12, 8, 21, 28, 29, 107223), datetime.datetime(2023, 12, 8, 21, 28, 29, 207443), datetime.datetime(2023, 12, 8, 21, 28, 29, 307583), datetime.datetime(2023, 12, 8, 21, 28, 29, 407763), datetime.datetime(2023, 12, 8, 21, 28, 29, 507993), datetime.datetime(2023, 12, 8, 21, 28, 29, 608173), datetime.datetime(2023, 12, 8, 21, 28, 29, 708353), datetime.datetime(2023, 12, 8, 21, 28, 29, 808533), datetime.datetime(2023, 12, 8, 21, 28, 29, 908743), datetime.datetime(2023, 12, 8, 21, 28, 30, 8903), datetime.datetime(2023, 12, 8, 21, 28, 30, 109123), datetime.datetime(2023, 12, 8, 21, 28, 30, 209273), datetime.datetime(2023, 12, 8, 21, 28, 30, 309513), datetime.datetime(2023, 12, 8, 21, 28, 30, 409683), datetime.datetime(2023, 12, 8, 21, 28, 30, 509913), datetime.datetime(2023, 12, 8, 21, 28, 30, 610053), datetime.datetime(2023, 12, 8, 21, 28, 30, 710233), datetime.datetime(2023, 12, 8, 21, 28, 30, 810443), datetime.datetime(2023, 12, 8, 21, 28, 30, 910583), datetime.datetime(2023, 12, 8, 21, 28, 31, 10803), datetime.datetime(2023, 12, 8, 21, 28, 31, 110963), datetime.datetime(2023, 12, 8, 21, 28, 31, 211153), datetime.datetime(2023, 12, 8, 21, 28, 31, 311343), datetime.datetime(2023, 12, 8, 21, 28, 31, 411513)]","[31.6132, 46.3838, 49.0549, 39.0435, 44.1828, 35.7207, 36.9692, 33.7876, 33.7891, 30.1392, 39.2066, 37.4688, 35.1497, 39.1404, 54.1631, 52.7072, 73.7765, 48.8335, 45.5995, 18.6568, 41.0695, 50.1765, 50.2688, 54.2842, 44.7131, 52.6731, 52.322, 38.2507, 43.2515, 43.3569, 42.8458, 45.1083, 40.2315, 41.2926, 45.42, 46.2488, 43.6798, 47.078, 67.0604, 49.2937, 42.2746, 39.6834, 34.1547]"
,"[datetime.datetime(2023, 12, 8, 21, 29, 19, 362164), datetime.datetime(2023, 12, 8, 21, 29, 19, 462314), datetime.datetime(2023, 12, 8, 21, 29, 19, 562570), datetime.datetime(2023, 12, 8, 21, 29, 19, 662743), datetime.datetime(2023, 12, 8, 21, 29, 19, 763016), datetime.datetime(2023, 12, 8, 21, 29, 19, 863243), datetime.datetime(2023, 12, 8, 21, 29, 19, 963512), datetime.datetime(2023, 12, 8, 21, 29, 20, 63730), datetime.datetime(2023, 12, 8, 21, 29, 20, 163921), datetime.datetime(2023, 12, 8, 21, 29, 20, 264101), datetime.datetime(2023, 12, 8, 21, 29, 20, 364321), datetime.datetime(2023, 12, 8, 21, 29, 20, 464481), datetime.datetime(2023, 12, 8, 21, 29, 20, 564661), datetime.datetime(2023, 12, 8, 21, 29, 20, 664881), datetime.datetime(2023, 12, 8, 21, 29, 20, 765101), datetime.datetime(2023, 12, 8, 21, 29, 20, 865321), datetime.datetime(2023, 12, 8, 21, 29, 20, 965501), datetime.datetime(2023, 12, 8, 21, 29, 21, 65721), datetime.datetime(2023, 12, 8, 21, 29, 21, 165921), datetime.datetime(2023, 12, 8, 21, 29, 21, 266131), datetime.datetime(2023, 12, 8, 21, 29, 21, 366361), datetime.datetime(2023, 12, 8, 21, 29, 21, 466541), datetime.datetime(2023, 12, 8, 21, 29, 21, 566721), datetime.datetime(2023, 12, 8, 21, 29, 21, 666941), datetime.datetime(2023, 12, 8, 21, 29, 21, 767161), datetime.datetime(2023, 12, 8, 21, 29, 21, 867351), datetime.datetime(2023, 12, 8, 21, 29, 21, 967581), datetime.datetime(2023, 12, 8, 21, 29, 22, 67801), datetime.datetime(2023, 12, 8, 21, 29, 22, 168001), datetime.datetime(2023, 12, 8, 21, 29, 22, 268281), datetime.datetime(2023, 12, 8, 21, 29, 22, 368551)]","[20.2759, 28.0963, 23.5128, 23.3209, 22.8447, 21.764, 20.3517, 23.4961, 24.2953, 24.85, 31.5088, 42.6868, 40.9961, 44.8794, 38.7655, 36.2029, 35.0752, 35.2555, 34.1676, 37.7592, 36.7285, 37.9296, 39.4635, 34.9049, 31.4411, 36.098, 35.8717, 44.4742, 45.382, 38.0663, 30.8649]"
,"[datetime.datetime(2023, 12, 8, 21, 30, 1, 343031), datetime.datetime(2023, 12, 8, 21, 30, 1, 443242), datetime.datetime(2023, 12, 8, 21, 30, 1, 543506), datetime.datetime(2023, 12, 8, 21, 30, 1, 643785), datetime.datetime(2023, 12, 8, 21, 30, 1, 744020), datetime.datetime(2023, 12, 8, 21, 30, 1, 844196), datetime.datetime(2023, 12, 8, 21, 30, 1, 944438), datetime.datetime(2023, 12, 8, 21, 30, 2, 44650), datetime.datetime(2023, 12, 8, 21, 30, 2, 144862), datetime.datetime(2023, 12, 8, 21, 30, 2, 245072), datetime.datetime(2023, 12, 8, 21, 30, 2, 345352), datetime.datetime(2023, 12, 8, 21, 30, 2, 445512), datetime.datetime(2023, 12, 8, 21, 30, 2, 545782), datetime.datetime(2023, 12, 8, 21, 30, 2, 645992), datetime.datetime(2023, 12, 8, 21, 30, 2, 746232), datetime.datetime(2023, 12, 8, 21, 30, 2, 846502), datetime.datetime(2023, 12, 8, 21, 30, 2, 946742), datetime.datetime(2023, 12, 8, 21, 30, 3, 47052), datetime.datetime(2023, 12, 8, 21, 30, 3, 147242), datetime.datetime(2023, 12, 8, 21, 30, 3, 247422), datetime.datetime(2023, 12, 8, 21, 30, 3, 347692), datetime.datetime(2023, 12, 8, 21, 30, 3, 447972)]","[18.2234, 24.4772, 21.275, 22.463, 19.3826, 23.5328, 27.7344, 30.4877, 23.7788, 24.2964, 27.7346, 24.3043, 23.2429, 24.6265, 26.0442, 25.4269, 23.8646, 25.0608, 22.5194, 32.5942, 31.6836, 18.5872]"
,"[datetime.datetime(2023, 12, 8, 21, 30, 36, 734887), datetime.datetime(2023, 12, 8, 21, 30, 36, 835120), datetime.datetime(2023, 12, 8, 21, 30, 36, 935375), datetime.datetime(2023, 12, 8, 21, 30, 37, 35601), datetime.datetime(2023, 12, 8, 21, 30, 37, 135835), datetime.datetime(2023, 12, 8, 21, 30, 37, 236000), datetime.datetime(2023, 12, 8, 21, 30, 37, 336189), datetime.datetime(2023, 12, 8, 21, 30, 37, 436396), datetime.datetime(2023, 12, 8, 21, 30, 37, 536607), datetime.datetime(2023, 12, 8, 21, 30, 37, 636837), datetime.datetime(2023, 12, 8, 21, 30, 37, 737077), datetime.datetime(2023, 12, 8, 21, 30, 37, 837307), datetime.datetime(2023, 12, 8, 21, 30, 37, 937467), datetime.datetime(2023, 12, 8, 21, 30, 38, 37747), datetime.datetime(2023, 12, 8, 21, 30, 38, 137927), datetime.datetime(2023, 12, 8, 21, 30, 38, 238207)]","[16.4494, 25.7944, 21.5637, 20.3386, 22.5595, 28.2499, 23.0296, 21.7506, 25.0685, 23.2025, 22.9044, 23.7036, 21.4716, 21.7979, 28.9006, 18.4624]"
,"[datetime.datetime(2023, 12, 8, 21, 31, 11, 29000), datetime.datetime(2023, 12, 8, 21, 31, 11, 129241), datetime.datetime(2023, 12, 8, 21, 31, 11, 229437), datetime.datetime(2023, 12, 8, 21, 31, 11, 329703), datetime.datetime(2023, 12, 8, 21, 31, 11, 429890), datetime.datetime(2023, 12, 8, 21, 31, 11, 530117), datetime.datetime(2023, 12, 8, 21, 31, 11, 630382), datetime.datetime(2023, 12, 8, 21, 31, 11, 730649), datetime.datetime(2023, 12, 8, 21, 31, 11, 830906), datetime.datetime(2023, 12, 8, 21, 31, 11, 931206), datetime.datetime(2023, 12, 8, 21, 31, 12, 31406), datetime.datetime(2023, 12, 8, 21, 31, 12, 131676), datetime.datetime(2023, 12, 8, 21, 31, 12, 231976)]","[14.8204, 22.48, 20.4896, 21.3909, 26.7731, 22.2426, 21.9493, 23.1401, 21.5648, 20.5019, 24.6438, 22.981, 11.7518]"
,"[datetime.datetime(2023, 12, 8, 21, 32, 19, 401750), datetime.datetime(2023, 12, 8, 21, 32, 19, 501904), datetime.datetime(2023, 12, 8, 21, 32, 19, 602059), datetime.datetime(2023, 12, 8, 21, 32, 19, 702336), datetime.datetime(2023, 12, 8, 21, 32, 19, 802498), datetime.datetime(2023, 12, 8, 21, 32, 19, 902708), datetime.datetime(2023, 12, 8, 21, 32, 20, 2986), datetime.datetime(2023, 12, 8, 21, 32, 20, 103271), datetime.datetime(2023, 12, 8, 21, 32, 20, 203565), datetime.datetime(2023, 12, 8, 21, 32, 20, 303865), datetime.datetime(2023, 12, 8, 21, 32, 20, 404135), datetime.datetime(2023, 12, 8, 21, 32, 20, 504405), datetime.datetime(2023, 12, 8, 21, 32, 20, 604685), datetime.datetime(2023, 12, 8, 21, 32, 20, 704895), datetime.datetime(2023, 12, 8, 21, 32, 20, 805135), datetime.datetime(2023, 12, 8, 21, 32, 20, 905325), datetime.datetime(2023, 12, 8, 21, 32, 21, 5585), datetime.datetime(2023, 12, 8, 21, 32, 21, 105815), datetime.datetime(2023, 12, 8, 21, 32, 21, 206015), datetime.datetime(2023, 12, 8, 21, 32, 21, 306155), datetime.datetime(2023, 12, 8, 21, 32, 21, 406315), datetime.datetime(2023, 12, 8, 21, 32, 21, 506545), datetime.datetime(2023, 12, 8, 21, 32, 21, 606775), datetime.datetime(2023, 12, 8, 21, 32, 21, 707035), datetime.datetime(2023, 12, 8, 21, 32, 21, 807225), datetime.datetime(2023, 12, 8, 21, 32, 21, 907405), datetime.datetime(2023, 12, 8, 21, 32, 22, 7605), datetime.datetime(2023, 12, 8, 21, 32, 22, 107775), datetime.datetime(2023, 12, 8, 21, 32, 22, 207985), datetime.datetime(2023, 12, 8, 21, 32, 22, 308235), datetime.datetime(2023, 12, 8, 21, 32, 22, 408495), datetime.datetime(2023, 12, 8, 21, 32, 22, 508765), datetime.datetime(2023, 12, 8, 21, 32, 22, 609025), datetime.datetime(2023, 12, 8, 21, 32, 22, 709235), datetime.datetime(2023, 12, 8, 21, 32, 22, 809425), datetime.datetime(2023, 12, 8, 21, 32, 22, 909595), datetime.datetime(2023, 12, 8, 21, 32, 23, 9785), datetime.datetime(2023, 12, 8, 21, 32, 23, 109905), datetime.datetime(2023, 12, 8, 21, 32, 23, 210075), datetime.datetime(2023, 12, 8, 21, 32, 23, 310335), datetime.datetime(2023, 12, 8, 21, 32, 23, 410535), datetime.datetime(2023, 12, 8, 21, 32, 23, 510775), datetime.datetime(2023, 12, 8, 21, 32, 23, 611035), datetime.datetime(2023, 12, 8, 21, 32, 23, 711275), datetime.datetime(2023, 12, 8, 21, 32, 23, 811505), datetime.datetime(2023, 12, 8, 21, 32, 23, 911785), datetime.datetime(2023, 12, 8, 21, 32, 24, 12075), datetime.datetime(2023, 12, 8, 21, 32, 24, 112315), datetime.datetime(2023, 12, 8, 21, 32, 24, 212535), datetime.datetime(2023, 12, 8, 21, 32, 24, 312775), datetime.datetime(2023, 12, 8, 21, 32, 24, 412975), datetime.datetime(2023, 12, 8, 21, 32, 24, 513145), datetime.datetime(2023, 12, 8, 21, 32, 24, 613315), datetime.datetime(2023, 12, 8, 21, 32, 24, 713475), datetime.datetime(2023, 12, 8, 21, 32, 24, 813725), datetime.datetime(2023, 12, 8, 21, 32, 24, 913955), datetime.datetime(2023, 12, 8, 21, 32, 25, 14175), datetime.datetime(2023, 12, 8, 21, 32, 25, 114465), datetime.datetime(2023, 12, 8, 21, 32, 25, 214695), datetime.datetime(2023, 12, 8, 21, 32, 25, 314965), datetime.datetime(2023, 12, 8, 21, 32, 25, 415255), datetime.datetime(2023, 12, 8, 21, 32, 25, 515535), datetime.datetime(2023, 12, 8, 21, 32, 25, 615795), datetime.datetime(2023, 12, 8, 21, 32, 25, 716035), datetime.datetime(2023, 12, 8, 21, 32, 25, 816255), datetime.datetime(2023, 12, 8, 21, 32, 25, 916545), datetime.datetime(2023, 12, 8, 21, 32, 26, 16805), datetime.datetime(2023, 12, 8, 21, 32, 26, 116965), datetime.datetime(2023, 12, 8, 21, 32, 26, 217115), datetime.datetime(2023, 12, 8, 21, 32, 26, 317275), datetime.datetime(2023, 12, 8, 21, 32, 26, 417455), datetime.datetime(2023, 12, 8, 21, 32, 26, 517675), datetime.datetime(2023, 12, 8, 21, 32, 26, 617935), datetime.datetime(2023, 12, 8, 21, 32, 26, 718105), datetime.datetime(2023, 12, 8, 21, 32, 26, 818375)]","[21.7752, 29.974, 21.8259, 19.1681, 18.9738, 19.5445, 18.8179, 16.9451, 17.1682, 18.8884, 20.1073, 20.2227, 22.0367, 26.5018, 34.0435, 38.4718, 35.6358, 36.1505, 38.2447, 37.1924, 30.7717, 29.1036, 25.6099, 25.6679, 25.6244, 23.071, 26.3018, 25.4684, 24.5574, 29.4153, 31.9266, 30.9011, 32.7495, 35.9324, 48.3979, 38.087, 45.1876, 38.8756, 24.0588, 21.3741, 19.258, 18.3742, 21.9264, 16.5842, 19.0565, 19.5132, 20.3702, 19.62, 23.0393, 23.6912, 33.4776, 38.2386, 33.8624, 29.2837, 31.0223, 26.6294, 25.3704, 25.1417, 24.2572, 24.506, 23.4737, 33.4465, 33.421, 31.5412, 29.0855, 28.6854, 30.5048, 35.3694, 25.514, 30.6157, 40.985, 45.7596, 34.4266, 29.8994, 15.5487]"
,"[datetime.datetime(2023, 12, 8, 21, 33, 21, 27869), datetime.datetime(2023, 12, 8, 21, 33, 21, 128173), datetime.datetime(2023, 12, 8, 21, 33, 21, 228386), datetime.datetime(2023, 12, 8, 21, 33, 21, 328596), datetime.datetime(2023, 12, 8, 21, 33, 21, 428809), datetime.datetime(2023, 12, 8, 21, 33, 21, 528983), datetime.datetime(2023, 12, 8, 21, 33, 21, 629240), datetime.datetime(2023, 12, 8, 21, 33, 21, 729450), datetime.datetime(2023, 12, 8, 21, 33, 21, 829641), datetime.datetime(2023, 12, 8, 21, 33, 21, 929871), datetime.datetime(2023, 12, 8, 21, 33, 22, 30091), datetime.datetime(2023, 12, 8, 21, 33, 22, 130311), datetime.datetime(2023, 12, 8, 21, 33, 22, 230511), datetime.datetime(2023, 12, 8, 21, 33, 22, 330711), datetime.datetime(2023, 12, 8, 21, 33, 22, 430921), datetime.datetime(2023, 12, 8, 21, 33, 22, 531141), datetime.datetime(2023, 12, 8, 21, 33, 22, 631371), datetime.datetime(2023, 12, 8, 21, 33, 22, 731561), datetime.datetime(2023, 12, 8, 21, 33, 22, 831801), datetime.datetime(2023, 12, 8, 21, 33, 22, 932051), datetime.datetime(2023, 12, 8, 21, 33, 23, 32261), datetime.datetime(2023, 12, 8, 21, 33, 23, 132471), datetime.datetime(2023, 12, 8, 21, 33, 23, 232681), datetime.datetime(2023, 12, 8, 21, 33, 23, 332871), datetime.datetime(2023, 12, 8, 21, 33, 23, 433021), datetime.datetime(2023, 12, 8, 21, 33, 23, 533221), datetime.datetime(2023, 12, 8, 21, 33, 23, 633471), datetime.datetime(2023, 12, 8, 21, 33, 23, 733751), datetime.datetime(2023, 12, 8, 21, 33, 23, 834011), datetime.datetime(2023, 12, 8, 21, 33, 23, 934311), datetime.datetime(2023, 12, 8, 21, 33, 24, 34611), datetime.datetime(2023, 12, 8, 21, 33, 24, 134861), datetime.datetime(2023, 12, 8, 21, 33, 24, 235131), datetime.datetime(2023, 12, 8, 21, 33, 24, 335401), datetime.datetime(2023, 12, 8, 21, 33, 24, 435681), datetime.datetime(2023, 12, 8, 21, 33, 24, 535971), datetime.datetime(2023, 12, 8, 21, 33, 24, 636191), datetime.datetime(2023, 12, 8, 21, 33, 24, 736441), datetime.datetime(2023, 12, 8, 21, 33, 24, 836691), datetime.datetime(2023, 12, 8, 21, 33, 24, 936931), datetime.datetime(2023, 12, 8, 21, 33, 25, 37171), datetime.datetime(2023, 12, 8, 21, 33, 25, 137401), datetime.datetime(2023, 12, 8, 21, 33, 25, 237701), datetime.datetime(2023, 12, 8, 21, 33, 25, 337931), datetime.datetime(2023, 12, 8, 21, 33, 25, 438101), datetime.datetime(2023, 12, 8, 21, 33, 25, 538351), datetime.datetime(2023, 12, 8, 21, 33, 25, 638601), datetime.datetime(2023, 12, 8, 21, 33, 25, 738811), datetime.datetime(2023, 12, 8, 21, 33, 25, 838981), datetime.datetime(2023, 12, 8, 21, 33, 25, 939251)]","[19.3877, 16.4679, 16.4658, 16.4699, 15.9627, 16.9225, 17.6012, 16.8445, 19.1136, 22.4098, 18.5386, 19.3846, 21.2993, 18.9782, 19.5792, 18.6973, 17.9783, 17.9507, 19.2862, 19.0669, 20.6216, 18.408, 20.7034, 24.0644, 23.1647, 26.2558, 19.4637, 16.5791, 16.3934, 16.2396, 16.750999999999998, 17.082, 16.7275, 17.1627, 26.0964, 20.8557, 24.7775, 20.4238, 19.1556, 19.4587, 21.0429, 19.2155, 19.9132, 20.9215, 22.6533, 20.3806, 21.2888, 25.009, 20.852, 17.3194]"
,"[datetime.datetime(2023, 12, 8, 21, 34, 10, 898068), datetime.datetime(2023, 12, 8, 21, 34, 10, 998235), datetime.datetime(2023, 12, 8, 21, 34, 11, 98404), datetime.datetime(2023, 12, 8, 21, 34, 11, 198572), datetime.datetime(2023, 12, 8, 21, 34, 11, 298729), datetime.datetime(2023, 12, 8, 21, 34, 11, 398883), datetime.datetime(2023, 12, 8, 21, 34, 11, 499134), datetime.datetime(2023, 12, 8, 21, 34, 11, 599371), datetime.datetime(2023, 12, 8, 21, 34, 11, 699576), datetime.datetime(2023, 12, 8, 21, 34, 11, 799826), datetime.datetime(2023, 12, 8, 21, 34, 11, 900076), datetime.datetime(2023, 12, 8, 21, 34, 12, 306), datetime.datetime(2023, 12, 8, 21, 34, 12, 100546), datetime.datetime(2023, 12, 8, 21, 34, 12, 200796), datetime.datetime(2023, 12, 8, 21, 34, 12, 300976), datetime.datetime(2023, 12, 8, 21, 34, 12, 401196), datetime.datetime(2023, 12, 8, 21, 34, 12, 501516), datetime.datetime(2023, 12, 8, 21, 34, 12, 601786), datetime.datetime(2023, 12, 8, 21, 34, 12, 702106), datetime.datetime(2023, 12, 8, 21, 34, 12, 802326), datetime.datetime(2023, 12, 8, 21, 34, 12, 902576), datetime.datetime(2023, 12, 8, 21, 34, 13, 2776), datetime.datetime(2023, 12, 8, 21, 34, 13, 102986), datetime.datetime(2023, 12, 8, 21, 34, 13, 203196), datetime.datetime(2023, 12, 8, 21, 34, 13, 303476), datetime.datetime(2023, 12, 8, 21, 34, 13, 403786), datetime.datetime(2023, 12, 8, 21, 34, 13, 504056), datetime.datetime(2023, 12, 8, 21, 34, 13, 604326), datetime.datetime(2023, 12, 8, 21, 34, 13, 704616), datetime.datetime(2023, 12, 8, 21, 34, 13, 804826), datetime.datetime(2023, 12, 8, 21, 34, 13, 905006), datetime.datetime(2023, 12, 8, 21, 34, 14, 5306)]","[16.0777, 15.5185, 14.667, 15.3953, 16.2788, 18.542, 17.4891, 18.7154, 16.7464, 18.7878, 16.6145, 17.1264, 16.9936, 17.3754, 20.5112, 20.4494, 15.1303, 15.0966, 15.0124, 15.2229, 15.8329, 18.2496, 15.7513, 17.3841, 16.3351, 16.7927, 16.337, 17.406, 17.3449, 17.3068, 19.9631, 12.6058]"
,"[datetime.datetime(2023, 12, 8, 21, 34, 52, 193558), datetime.datetime(2023, 12, 8, 21, 34, 52, 293783), datetime.datetime(2023, 12, 8, 21, 34, 52, 393985), datetime.datetime(2023, 12, 8, 21, 34, 52, 494198), datetime.datetime(2023, 12, 8, 21, 34, 52, 594435), datetime.datetime(2023, 12, 8, 21, 34, 52, 694696), datetime.datetime(2023, 12, 8, 21, 34, 52, 795038), datetime.datetime(2023, 12, 8, 21, 34, 52, 895302), datetime.datetime(2023, 12, 8, 21, 34, 52, 995653), datetime.datetime(2023, 12, 8, 21, 34, 53, 95853), datetime.datetime(2023, 12, 8, 21, 34, 53, 196043), datetime.datetime(2023, 12, 8, 21, 34, 53, 296363), datetime.datetime(2023, 12, 8, 21, 34, 53, 396623), datetime.datetime(2023, 12, 8, 21, 34, 53, 496863), datetime.datetime(2023, 12, 8, 21, 34, 53, 597163), datetime.datetime(2023, 12, 8, 21, 34, 53, 697503), datetime.datetime(2023, 12, 8, 21, 34, 53, 797763), datetime.datetime(2023, 12, 8, 21, 34, 53, 898033), datetime.datetime(2023, 12, 8, 21, 34, 53, 998343), datetime.datetime(2023, 12, 8, 21, 34, 54, 98633)]","[16.669, 16.9059, 17.1602, 18.2576, 17.0117, 16.4859, 16.5371, 16.762999999999998, 16.3563, 19.477, 18.7423, 16.2812, 17.0986, 17.9842, 17.3497, 16.7964, 16.921, 17.3848, 19.3266, 13.9133]"
,"[datetime.datetime(2023, 12, 8, 21, 35, 28, 482544), datetime.datetime(2023, 12, 8, 21, 35, 28, 582722), datetime.datetime(2023, 12, 8, 21, 35, 29, 3943), datetime.datetime(2023, 12, 8, 21, 35, 29, 104256), datetime.datetime(2023, 12, 8, 21, 35, 29, 204537), datetime.datetime(2023, 12, 8, 21, 35, 29, 304811), datetime.datetime(2023, 12, 8, 21, 35, 29, 405091), datetime.datetime(2023, 12, 8, 21, 35, 29, 505361), datetime.datetime(2023, 12, 8, 21, 35, 29, 605501), datetime.datetime(2023, 12, 8, 21, 35, 29, 705711), datetime.datetime(2023, 12, 8, 21, 35, 29, 805881), datetime.datetime(2023, 12, 8, 21, 35, 29, 906091), datetime.datetime(2023, 12, 8, 21, 35, 30, 6351), datetime.datetime(2023, 12, 8, 21, 35, 30, 106551), datetime.datetime(2023, 12, 8, 21, 35, 30, 206821), datetime.datetime(2023, 12, 8, 21, 35, 30, 307101), datetime.datetime(2023, 12, 8, 21, 35, 30, 407371)]","[16.6581, 17.5859, 16.6801, 9.87753, 9.56845, 9.75111, 9.85785, 9.68711, 12.1667, 20.3794, 17.8613, 19.1616, 17.6503, 18.3724, 17.706, 18.0273, 10.7828]"
